Année;Mois;Régulatité composite en %;Période;Ponctualité Origine en %;Axe
2016;4;91.4509037616;2016-04;75.92910234419999;2
2016;1;92.4068767908;2016-01;77.1200910643;2
2016;5;87.5087229588;2016-05;83.7771015595;1
2016;4;89.7862232779;2016-04;79.80997624700001;4
2016;4;94.1540577717;2016-04;83.48700754400001;6
2016;2;94.1686914266;2016-02;88.3248730964;6
2016;3;91.7006802721;2016-03;85.3394418992;6
2016;5;92.0055613486;2016-05;84.7983014862;6
2015;9;94.2148760331;2015-09;85.5394032135;5
2016;1;96.1592178771;2016-01;90.3200925569;5
2016;7;87.6214617659;2016-07;71.6341212744;2
2016;5;88.7785853572;2016-05;85.3695901953;3
2016;9;89.2975422695;2016-09;84.2513723263;3
2016;7;86.31346578370001;2016-07;71.5231788079;4
2016;7;87.06011730210001;2016-07;82.5425246195;6
2016;12;85.8407079646;2016-12;78.5398230088;4
2016;11;83.9907192575;2016-11;77.030162413;4
2016;7;93.78511235959999;2016-07;85.0551245406;5
2016;10;94.2795076032;2016-10;86.3522537563;5
2016;11;90.0;2016-11;86.9476268412;6
2017;11;86.98864660299999;2017-11;83.7045720985;3
2018;9;87.4;2018-09;82.3;3
2019;2;87.9;2019-02;81.89999999999999;4
2019;3;93.7;2019-03;89.5;3
2019;3;91.0;2019-03;82.89999999999999;5
2019;3;89.8;2019-03;84.7;6
